	Mon Dec 11 09:27 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -N3 -RTS

	total time  =       10.82 secs   (32471 ticks @ 1000 us, 3 processors)
	total alloc = 76,826,704,944 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   27.7   25.9
calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    24.6   14.7
separateFronts               NeuralNet NeuralNet.hs:218:1-40            17.8   31.2
averageHelper                NeuralNet NeuralNet.hs:(265,1)-(266,73)    16.0   16.1
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    5.5    3.7
main                         Main      profilingTest.hs:(2,1)-(6,88)     2.4    3.6
readPrec                     NeuralNet NeuralNet.hs:8:87-90              2.4    1.9
showsPrec                    NeuralNet NeuralNet.hs:17:56-59             0.9    1.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

         separateFronts                NeuralNet               NeuralNet.hs:218:1-40          369       1000    0.0    0.0     0.0    0.0
       derivateNet.x                   NeuralNet               NeuralNet.hs:127:71-141        381       1000    0.0    0.0     0.3    0.3
        derivateLastLayer              NeuralNet               NeuralNet.hs:(150,1)-(152,103) 383      10020    0.0    0.0     0.3    0.3
         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(161,1)-(162,144) 407    1290200    0.3    0.3     0.3    0.3
         derivateLastLayer.cDact       NeuralNet               NeuralNet.hs:152:78-103        387      10000    0.0    0.0     0.0    0.0
        separateFronts                 NeuralNet               NeuralNet.hs:218:1-40          382       1000    0.0    0.0     0.0    0.0
      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:109:66-98         388        980    0.0    0.0    24.1   14.6
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          389        980    0.0    0.0    24.1   14.6
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  390       2940    0.0    0.0    24.1   14.6
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         391       1960    0.0    0.0    23.9   14.4
