	Tue Dec  5 18:42 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =      833.48 secs   (833479 ticks @ 1000 us, 1 processor)
	total alloc = 1,818,976,847,608 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    28.6   15.5
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   22.7   27.3
averageHelper                NeuralNet NeuralNet.hs:(262,1)-(263,73)    19.3   17.0
separateFronts               NeuralNet NeuralNet.hs:215:1-40            18.9   32.9
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    6.8    3.9
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(161,1)-(162,144) 407   32260000    0.3    0.3     0.3    0.3
         derivateLastLayer.cDact       NeuralNet               NeuralNet.hs:152:78-103        387     250000    0.0    0.0     0.0    0.0
        separateFronts                 NeuralNet               NeuralNet.hs:215:1-40          382      25000    0.0    0.0     0.0    0.0
      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:109:66-98         388      24000    0.0    0.0    27.6   15.1
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          389      24000    0.0    0.0    27.6   15.1
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  390      72000    0.0    0.0    27.6   15.1
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         391      48000    0.0    0.0    27.3   14.9
          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  392      48000    0.0    0.0    27.3   14.9
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         393      48000    0.0    0.0    27.3   14.9
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 394    6192000    0.0    0.0    27.2   14.9
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,93)  395    6144000    0.1    0.0    27.2   14.8
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-99         396    6144000    0.0    0.0    27.1   14.8
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,87)  397 2801664000   27.0   14.8    27.0   14.8
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  398      24000    0.0    0.0     0.3    0.2
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         399      24000    0.0    0.0     0.3    0.2
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 400     240000    0.0    0.0     0.3    0.2
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,93)  401     240000    0.0    0.0     0.3    0.2
             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         402     240000    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-88         403     240000    0.0    0.0     0.3    0.2
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,87)  404   30720000    0.3    0.2     0.3    0.2
