	Tue Dec  5 14:27 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =       20.54 secs   (20543 ticks @ 1000 us, 1 processor)
	total alloc = 42,054,255,336 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   26.1   23.6
calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,97)    23.3   14.6
averageHelper                NeuralNet NeuralNet.hs:(270,1)-(271,73)    15.7   14.7
separateFronts               NeuralNet NeuralNet.hs:215:1-40            15.4   28.5
main                         Main      profilingTest.hs:(2,1)-(6,88)     5.8    6.6
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    5.4    3.4
readPrec                     NeuralNet NeuralNet.hs:8:87-90              3.1    3.4
showsPrec                    NeuralNet NeuralNet.hs:17:56-59             1.9    2.6
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

          derivateNeuronActivation     NeuralNet               NeuralNet.hs:(156,1)-(157,141) 363    8256000    5.3    3.1     5.3    3.1
         derivateLayer.x               NeuralNet               NeuralNet.hs:144:63-89         364      64000    0.0    0.0     2.8    3.4
          separateFronts               NeuralNet               NeuralNet.hs:215:1-40          365      64000    2.8    3.4     2.8    3.4
        derivateNetHelper.cDacts       NeuralNet               NeuralNet.hs:135:96-110        367        500    0.0    0.0     0.0    0.0
        derivateNetHelper.cLOut        NeuralNet               NeuralNet.hs:133:96-154        370        500    0.0    0.0     3.1    3.9
         derivateLayer                 NeuralNet               NeuralNet.hs:(141,1)-(145,118) 371      64020    0.0    0.0     3.1    3.9
          derivateNeuronWeightsandBias NeuralNet               NeuralNet.hs:(161,1)-(162,144) 406    8256128    2.7    3.3     2.7    3.3
          derivateLayer.cDAct          NeuralNet               NeuralNet.hs:145:63-118        373      64000    0.0    0.0     0.2    0.2
           derivateNeuronActivation    NeuralNet               NeuralNet.hs:(156,1)-(157,141) 374     704000    0.2    0.2     0.2    0.2
          derivateLayer.x              NeuralNet               NeuralNet.hs:144:63-89         375      64000    0.0    0.0     0.2    0.3
           separateFronts              NeuralNet               NeuralNet.hs:215:1-40          376      64000    0.2    0.3     0.2    0.3
        derivateNetHelper.cResult      NeuralNet               NeuralNet.hs:136:96-111        405        500    0.0    0.0     0.0    0.0
        derivateNetHelper.x            NeuralNet               NeuralNet.hs:134:96-119        368        500    0.0    0.0     0.0    0.0
         separateFronts                NeuralNet               NeuralNet.hs:215:1-40          369        500    0.0    0.0     0.0    0.0
       derivateNet.x                   NeuralNet               NeuralNet.hs:127:71-141        381        500    0.0    0.0     0.3    0.3
        derivateLastLayer              NeuralNet               NeuralNet.hs:(150,1)-(152,103) 383       5020    0.0    0.0     0.2    0.3
         derivateNeuronWeightsandBias  NeuralNet               NeuralNet.hs:(161,1)-(162,144) 407     645010    0.2    0.3     0.2    0.3
         derivateLastLayer.cDact       NeuralNet               NeuralNet.hs:152:78-103        387       5000    0.0    0.0     0.0    0.0
        separateFronts                 NeuralNet               NeuralNet.hs:215:1-40          382        500    0.0    0.0     0.0    0.0
      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:109:66-98         388        480    0.0    0.0    22.0   14.1
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          389        480    0.0    0.0    22.0   14.1
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  390       1440    0.0    0.0    22.0   14.1
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         391        960    0.0    0.0    21.8   14.0
          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  392        960    0.0    0.0    21.8   14.0
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         393        960    0.0    0.0    21.8   14.0
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 394     123840    0.0    0.0    21.8   13.9
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,89)  395     122880    0.1    0.0    21.8   13.9
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-95         396     122880    0.0    0.0    21.7   13.9
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,97)  397   56156160   21.7   13.9    21.7   13.9
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  398        480    0.0    0.0     0.2    0.2
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         399        480    0.0    0.0     0.2    0.2
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 400       4800    0.0    0.0     0.2    0.2
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,89)  401       4800    0.0    0.0     0.2    0.2
             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         402       4800    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-84         403       4800    0.0    0.0     0.2    0.2
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,97)  404     619200    0.2    0.2     0.2    0.2
      trainEpochHelper.activeNet       NeuralNet               NeuralNet.hs:107:57-89         310         20    0.0    0.0     1.4    0.6
       activateNet                     NeuralNet               NeuralNet.hs:170:1-42          311         20    0.0    0.0     1.4    0.6
        activateNetHelper              NeuralNet               NeuralNet.hs:(173,1)-(175,80)  312         60    0.0    0.0     1.4    0.6
         activateNetHelper.z           NeuralNet               NeuralNet.hs:175:53-80         344         40    0.0    0.0     1.4    0.6
          activateLay                  NeuralNet               NeuralNet.hs:(180,1)-(181,95)  345         40    0.0    0.0     1.4    0.6
           activateLay.l               NeuralNet               NeuralNet.hs:181:50-95         346         40    0.0    0.0     1.4    0.6
            activateNuesRegular        NeuralNet               NeuralNet.hs:(185,1)-(186,110) 347       5160    0.0    0.0     1.4    0.6
             activateNue               NeuralNet               NeuralNet.hs:(190,1)-(202,89)  348       5120    0.0    0.0     1.4    0.6
              activateNue.z            NeuralNet               NeuralNet.hs:199:60-95         349       5120    0.0    0.0     1.4    0.6
               calculateZ              NeuralNet               NeuralNet.hs:(210,1)-(211,97)  350    2339840    1.4    0.6     1.4    0.6
         activateLay                   NeuralNet               NeuralNet.hs:(180,1)-(181,95)  377         20    0.0    0.0     0.0    0.0
          activateLay.l                NeuralNet               NeuralNet.hs:181:50-95         378         20    0.0    0.0     0.0    0.0
           activateNuesRegular         NeuralNet               NeuralNet.hs:(185,1)-(186,110) 379        220    0.0    0.0     0.0    0.0
            activateNue                NeuralNet               NeuralNet.hs:(190,1)-(202,89)  380        200    0.0    0.0     0.0    0.0
             activateNue.sigVal        NeuralNet               NeuralNet.hs:193:49-74         384        200    0.0    0.0     0.0    0.0
             activateNue.z             NeuralNet               NeuralNet.hs:192:49-84         385        200    0.0    0.0     0.0    0.0
              calculateZ               NeuralNet               NeuralNet.hs:(210,1)-(211,97)  386      25800    0.0    0.0     0.0    0.0
     average3d                         NeuralNet               NeuralNet.hs:(242,1)-(244,38)  307         80    0.0    0.0    29.2   40.9
      average2d                        NeuralNet               NeuralNet.hs:(248,1)-(250,38)  341       5380    0.0    0.0    29.2   40.9
       average1d                       NeuralNet               NeuralNet.hs:(254,1)-(256,38)  353    2365906    0.8    0.8    29.1   40.8
        average                        NeuralNet               NeuralNet.hs:267:1-31          360    2365640    0.1    0.2    15.8   14.9
         averageHelper                 NeuralNet               NeuralNet.hs:(270,1)-(271,73)  361   61506640   15.7   14.7    15.7   14.7
        average1d.z                    NeuralNet               NeuralNet.hs:256:19-38         357    2365640    0.2    0.4    12.5   25.1
         separateFronts                NeuralNet               NeuralNet.hs:215:1-40          358    2365640   12.3   24.7    12.3   24.7
       average2d.z                     NeuralNet               NeuralNet.hs:250:19-38         354       5320    0.0    0.0     0.1    0.1
        separateFronts                 NeuralNet               NeuralNet.hs:215:1-40          355       5320    0.1    0.1     0.1    0.1
      average3d.z                      NeuralNet               NeuralNet.hs:244:19-38         333         60    0.0    0.0     0.0    0.0
